"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000000003",0.280167795167812,3.70013238822373,2.23994121951999,0.0283255451709061,0.320206623016785,-3.56296810511158
"ENSG00000000419",-0.0198357916224574,4.15461663317608,-0.303632076142256,0.762323730413521,0.93269841231402,-5.74222781224023
"ENSG00000000457",-0.15745275767541,4.76373858440666,-1.99813555906844,0.0496527483303035,0.382530202759753,-4.00302475602961
"ENSG00000000460",-0.153205287812516,2.0970338863907,-1.2880318148191,0.202046338451289,0.61472189043368,-5.03092473991718
"ENSG00000000938",0.270423625213504,2.4034211754261,0.955002107878849,0.342923309812491,0.732208259508616,-5.36785771522904
"ENSG00000000971",0.496613428640681,3.74238999316877,1.79020083953798,0.0778830066676698,0.446692320924448,-4.34614539143001
"ENSG00000001036",0.0239642376320177,4.57178596574329,0.239982929908331,0.81105643483206,0.947889229644368,-5.75813445777836
"ENSG00000001084",0.0374904103209627,5.57033924884433,0.508232219335916,0.612914782668552,0.876166847444029,-5.66598589697507
"ENSG00000001167",0.0463851210038087,6.09207334546184,0.800745639595433,0.426033044058941,0.784260102393597,-5.49100130585549
"ENSG00000001460",-0.13987652370408,4.46991787677321,-1.50261054323157,0.137511743666556,0.539361458590625,-4.76363491596737
"ENSG00000001461",-0.0955461633562845,7.95713150378477,-0.865824737226694,0.389592872127698,0.762967177968024,-5.44162646579422
"ENSG00000001497",-0.109360327980165,5.94975715005775,-1.43937717746062,0.15457409939344,0.560846101813715,-4.84640856116654
"ENSG00000001561",-0.0903451056454675,7.12628735566241,-0.925451986523659,0.357962789940847,0.744514191911878,-5.39308491577617
"ENSG00000001617",-0.0794040584620552,2.50455072644296,-0.340866677941436,0.734241753829088,0.92248191563597,-5.73120070199565
"ENSG00000001629",-0.0325346712412913,7.11346880664773,-0.534076207869853,0.595008811881629,0.86717916345567,-5.65364073376423
"ENSG00000001630",0.0730772175315201,3.70093133037524,0.544348512449956,0.587960056791631,0.864531273764462,-5.64856535714496
"ENSG00000001631",-0.0379710065749329,5.89323167409704,-0.706359594811639,0.482347702480349,0.815200999047293,-5.5558869340735
"ENSG00000002016",-0.0192128448059827,4.42406665838608,-0.216366231847945,0.829341967500055,0.952360369251867,-5.7630908678029
"ENSG00000002330",-0.0357135680294388,6.12015933142194,-0.512354558395074,0.61004235584944,0.874516780009842,-5.6640574276878
"ENSG00000002549",0.120193391430073,5.47110995148666,1.03491471782295,0.304329522882034,0.704724572272085,-5.29580668993249
"ENSG00000002586",0.391051514668415,4.37960711058885,2.7542962913544,0.00751717652619259,0.210585404513703,-2.48874514577645
"ENSG00000002587",-0.126346627136283,4.61962216266118,-0.747950130889192,0.457055264793506,0.804659213981173,-5.52826113296778
"ENSG00000002745",0.149157078568842,1.79289188913108,0.6342859970487,0.527995762683787,0.835502077745155,-5.60004445654044
"ENSG00000002746",-0.240923771448117,7.11421036945555,-2.694382478851,0.0088520040509328,0.225403605663765,-2.62303858016457
"ENSG00000002822",-0.14985372206312,3.90962720813092,-2.38151849408873,0.0200104781014625,0.290277569025613,-3.28550030034016
"ENSG00000002834",0.149544783646517,7.44371007635527,2.72126583561729,0.00822834419847931,0.219780716281662,-2.56306811398358
